Impervious,Water,Herbaceous,BareSoilDr,Unsuitable,PossiblePl,Shrub,Shape_Area,object_id,Year,UrbanTreeCanopy_pct
69.471370041,0,10.8790513307,0,0,10.9323473569,0.0532960261151,1007.02361464,31,2020,28.4767329536
69.471370041,0,10.8790513307,0,0,10.9323473569,0.0532960261151,1007.02361464,31,2022,18.9900403051
69.471370041,0,10.8790513307,0,0,10.9323473569,0.0532960261151,1007.02361464,31,2024,19.5962826022
55.8008447971,0,14.2010103316,0.0456647068897,0,14.5299389235,0.328928591815,27693.0551728,32,2020,33.0933557851
55.8008447971,0,14.2010103316,0.0456647068897,0,14.5299389235,0.328928591815,27693.0551728,32,2022,29.5236600263
55.8008447971,0,14.2010103316,0.0456647068897,0,14.5299389235,0.328928591815,27693.0551728,32,2024,29.6235515726
39.8799405015,0,16.9092647684,0.0265618359541,0,17.5440926477,0.634827879303,9829.34237975,33,2020,46.1379090523
39.8799405015,0,16.9092647684,0.0265618359541,0,17.5440926477,0.634827879303,9829.34237975,33,2022,43.9651508712
39.8799405015,0,16.9092647684,0.0265618359541,0,17.5440926477,0.634827879303,9829.34237975,33,2024,42.5494050149
59.0861229761,0,12.5300486739,0,0,15.4226681236,2.89261944969,21700.4093544,34,2020,32.0472832025
59.0861229761,0,12.5300486739,0,0,15.4226681236,2.89261944969,21700.4093544,34,2022,30.1400615874
59.0861229761,0,12.5300486739,0,0,15.4226681236,2.89261944969,21700.4093544,34,2024,25.4912089004
42.3606723114,4.5071029802,18.449164071,13.5257692108,0,19.4958663532,0.168003508746,8704.44222781,35,2020,22.7039187906
42.3606723114,4.5071029802,18.449164071,13.5257692108,0,19.4958663532,0.168003508746,8704.44222781,35,2022,21.8865310062
42.3606723114,4.5071029802,18.449164071,13.5257692108,0,19.4958663532,0.168003508746,8704.44222781,35,2024,21.979946753
32.8894789247,0,33.1961500166,0,0,33.1961500166,0,15187.0542782,36,2020,36.6345834716
32.8894789247,0,33.1961500166,0,0,33.1961500166,0,15187.0542782,36,2022,36.646531696
32.8894789247,0,33.1961500166,0,0,33.1961500166,0,15187.0542782,36,2024,33.9143710587
74.9625983302,0,3.26480382221,0,0,3.30944452488,0.0446407026688,9867.06633886,37,2020,26.9931470489
74.9625983302,0,3.26480382221,0,0,3.30944452488,0.0446407026688,9867.06633886,37,2022,22.2009072921
74.9625983302,0,3.26480382221,0,0,3.30944452488,0.0446407026688,9867.06633886,37,2024,21.7279571449
49.2084432718,0,12.26767955,0,0,12.3242193163,0.0565397663023,17803.3479634,38,2020,44.3822668097
