Index,site_id,creek_name,unit,week_temp_c,start_week,end_week
19,CGT5,Claggett Creek,C,16.850416666666668,9/10/2018,9/9/2018
19,CRO1,Croisan Creek,C,16.69766369047619,9/10/2018,9/9/2018
19,CRO10,Croisan Creek,C,15.882872023809524,9/10/2018,9/9/2018
19,GIB1,Gibson Creek,C,15.491502976190477,9/10/2018,9/9/2018
19,GIB15,Gibson Creek,C,14.969315476190475,9/10/2018,9/9/2018
19,MRA1,Mill Race,C,16.942931547619047,9/10/2018,9/9/2018
19,MRA10,Mill Race,C,16.717113095238094,9/10/2018,9/9/2018
19,SHE1,Shelton Ditch,C,16.723556547619047,9/10/2018,9/9/2018
19,SHE10,Shelton Ditch,C,16.46196263046131,9/10/2018,9/9/2018
19,WAL3,Waln Creek,C,16.780029761904764,9/10/2018,9/9/2018
20,CGT1,Claggett Creek,C,18.380580357142858,9/11/2018,9/17/2018
20,CGT5,Claggett Creek,C,15.82016369047619,9/11/2018,9/17/2018
20,CRO1,Croisan Creek,C,14.682098214285714,9/11/2018,9/17/2018
20,CRO10,Croisan Creek,C,14.867068452380952,9/11/2018,9/17/2018
20,GIB1,Gibson Creek,C,14.769017857142858,9/11/2018,9/17/2018
20,GIB15,Gibson Creek,C,14.118839285714285,9/11/2018,9/17/2018
20,MRA1,Mill Race,C,14.552872023809524,9/11/2018,9/17/2018
20,MRA10,Mill Race,C,14.413764880952382,9/11/2018,9/17/2018
20,SHE1,Shelton Ditch,C,14.727455357142857,9/11/2018,9/17/2018
20,SHE10,Shelton Ditch,C,14.206134260401786,9/11/2018,9/17/2018
20,WAL3,Waln Creek,C,15.259598214285715,9/11/2018,9/17/2018
21,CGT1,Claggett Creek,C,17.977425595238095,9/18/2018,9/24/2018
21,CGT5,Claggett Creek,C,14.829017857142857,9/18/2018,9/24/2018
21,CRO1,Croisan Creek,C,13.88455357142857,9/18/2018,9/24/2018
21,CRO10,Croisan Creek,C,14.059285714285714,9/18/2018,9/24/2018
21,GIB1,Gibson Creek,C,13.59171130952381,9/18/2018,9/24/2018
21,GIB15,Gibson Creek,C,13.043630952380951,9/18/2018,9/24/2018
21,MRA1,Mill Race,C,14.58842261904762,9/18/2018,9/24/2018
21,MRA10,Mill Race,C,14.436592261904762,9/18/2018,9/24/2018
21,SHE1,Shelton Ditch,C,14.79330357142857,9/18/2018,9/24/2018
21,SHE10,Shelton Ditch,C,14.320651455818453,9/18/2018,9/24/2018
21,WAL3,Waln Creek,C,14.55529761904762,9/18/2018,9/24/2018
