OBJECTID,UnitID,UnitID2,Name,UnitType,Status,PW Grid No,GLOBALID,Flow direction,Shape__Length
1876,33145,33139,Waln Creek (Trib. Battle Creek),CREEK,ACT,33-450,05a65e12-0621-41bc-bbfb-82b55e1dc978,1,164.1747189
1877,33129,33138,Waln Creek (Trib. Battle Creek),CREEK,ACT,33-450,03531afa-8fb5-4e42-a193-577376d03d26,1,185.7860822
1878,33309,33145,Waln Creek (Trib. Battle Creek),CREEK,ACT,33-450,8f5ee28c-5211-42d7-bcb4-2a80b0c6fdcd,1,241.34436
1879,33136,33129,Waln Creek (Trib. Battle Creek),CREEK,ACT,33-450,678e3d80-bff3-40f0-b64e-315429db0eb3,1,89.00919052
1880,183423,33309,Waln Creek (Trib. Battle Creek),CREEK,ACT,33-450,e578cc50-be67-4f2d-ba4a-6a55e67211b7,1,239.3687707
1881,33107,33109,Waln Creek (Trib. Battle Creek),CREEK,ACT,36-450,eb4cfa92-b60e-4d39-90bf-a16c71ea69aa,1,41.60396438
1882,33105,33107,Waln Creek (Trib. Battle Creek),CREEK,ACT,36-450,e9504872-4816-432c-b1c9-d0a217e7bb47,1,28.80934789
1883,33109,33111,Waln Creek (Trib. Battle Creek),CREEK,ACT,36-450,f78ec4c1-e910-4d34-bb75-4162d24a7674,1,14.76627079
1884,37015,37939,Waln Creek (Trib. Battle Creek),CREEK,ACT,36-450,bc920fdf-095f-48b4-ba04-71fa3e06f865,1,50.82752003
1885,52214,33306,Waln Creek (Trib. Battle Creek),CREEK,ACT,36-450,6dedba59-d673-44be-aa8c-941645161240,1,70.10437916
1886,52215,52216,Waln Creek (Trib. Battle Creek),CREEK,ACT,36-450,8c482bcc-7b20-451b-874d-062c2e0b3981,1,48.88793546
1887,127445,127444,Waln Creek (Trib. Battle Creek),CREEK,ACT,36-450,0c2cbb82-e700-4807-be52-72ba60d5f281,1,21.18626758
1888,127442,127443,Waln Creek (Trib. Battle Creek),CREEK,ACT,36-450,4e77e5da-5958-422e-a920-27f00dda9ed6,1,20.87487359
1889,131272,183424,Waln Creek (Trib. Battle Creek),CREEK,ACT,36-450,95c1c847-ea0b-4065-a02e-7b1fbaadb11f,1,70.33498611
1890,183424,183425,Waln Creek (Trib. Battle Creek),CREEK,ACT,36-450,6d7e56b4-d61e-478e-9be3-c143821328a2,1,3.869648195
1891,36600,37524,Waln Creek (Trib. Battle Creek),CREEK,ACT,36-450,04343c78-44bb-4057-8d3d-18a730232145,1,42.21617954
1892,36601,37525,Waln Creek (Trib. Battle Creek),CREEK,ACT,36-450,143b3bea-94d0-4547-b6f4-8c87ce1a4f45,1,14.17090994
1893,33305,33205,Waln Creek (Trib. Battle Creek),CREEK,ACT,39-450,8a52bb5b-8e2d-4dc9-9239-de408fda5159,1,98.77687698
1894,33205,33184,Waln Creek (Trib. Battle Creek),CREEK,ACT,39-450,307a314a-660e-4d2e-a242-ab1179121bde,1,41.54901472
1896,73653,73652,Scotch Creek (Trib. Battle Creek),CREEK,ACT,45-442,aa81a387-a344-4f85-8609-3591ddf5b08f,1,8.671724735
1897,73651,73650,Scotch Creek (Trib. Battle Creek),CREEK,ACT,45-442,a798073c-39d5-46c1-97d4-4e1eebb9a0e4,1,15.33625251
1898,36368,73650,Scotch Creek (Trib. Battle Creek),CREEK,ACT,45-442,9f7ed6d9-fcde-433d-ad91-99005d01d243,1,18.62572993
1899,183135,76233,Powell Creek (Trib. Battle Creek),CREEK,ACT,39-442,feff6195-53fa-4b64-ab60-3ffb57982ad2,1,1291.673599
1900,77500,77494,West Fork Little Pudding River,CREEK,ACT,57-470,4b680d07-5c54-4b40-81b9-9286debb8ac1,1,102.1315677
1901,80051,37385,Trib. West Middle Fork Little Pudding River,CREEK,ACT,66-458,20830975-73a2-4abd-8721-cba8a13ab2f7,1,513.38778
1902,80052,82404,Trib. West Middle Fork Little Pudding River,CREEK,ACT,66-458,114e3a0c-69a7-4278-bc01-02cbf0e34c2f,1,414.0441784
1903,80054,80053,Trib. West Middle Fork Little Pudding River,CREEK,ACT,66-458,0898fd8c-c6e9-4b77-8916-62b6d895e2d8,1,504.7765637
1904,81657,81658,Trib. East Fork Pringle Creek,CREEK,ACT,57-446,78950b1e-c551-4a79-bcbb-7f364fabda09,1,39.20485237
1905,87738,87737,Mill Creek,CREEK,ACT,45-472,9a8a9dfd-b702-4fcd-97e2-de28256c1291,1,7.248196904
1906,88378,88380,Trib. Mill Creek,CREEK,ACT,54-462,3b2ff759-cfaf-4b23-9be1-618a550171d3,1,484.9517292
1907,36578,88724,Battle Creek,CREEK,ACT,42-446,2b00e828-bd9b-43ad-bac5-6c1e62e2d120,1,521.3679274
1908,37502,36578,Battle Creek,CREEK,ACT,42-446,991f3a15-fe41-4639-875c-feca63b4479a,1,51.66367811
1909,88725,37502,Battle Creek,CREEK,ACT,42-446,b70bc542-f24a-4ba2-87fb-b785054e7205,1,442.687186
1910,89011,89010,Battle Creek,CREEK,ACT,36-444,f2317e3f-f1b1-474e-b05f-5b445b52c4f3,1,28.30109809
1911,89010,183106,Battle Creek,CREEK,ACT,36-444,f284d978-f499-4938-9f7c-a347b866ba87,1,717.6876399
1912,182838,88741,Battle Creek,CREEK,ACT,36-444,c59d15cf-f1ff-43b3-833d-b200677578f5,1,428.1872877
1913,183106,182837,Battle Creek,CREEK,ACT,36-444,b1ab524d-d81d-4460-9046-6fa3e8e1b590,1,90.01234928
1914,182836,183102,Battle Creek,CREEK,ACT,36-444,223376f6-c2a7-47ec-9ffa-6eda3403f5d3,1,320.1671283
1915,183098,183099,Battle Creek,CREEK,ACT,33-442,55038fbc-4331-4e9b-9ad9-169d9e51809a,1,906.0745977
1916,183101,182835,Battle Creek,CREEK,ACT,33-444,51dd0fc8-4cc6-4297-b0a1-d1c5807e4b1e,1,519.7257863
1917,183105,89011,Battle Creek,CREEK,ACT,36-444,48c3c172-5c3c-42ba-ac6f-9103f52e2f12,1,83.74243919
1918,183104,183105,Battle Creek,CREEK,ACT,36-444,2a67e7e4-582d-45cb-b592-ce151cc3ae5a,1,280.160881
1919,183103,183104,Battle Creek,CREEK,ACT,36-444,83b3489a-5a68-4289-9b94-773bce2ea1a8,1,346.1712273
1920,183102,183103,Battle Creek,CREEK,ACT,36-444,1e8ca29b-d138-4479-b0b5-d579616f9e88,1,116.8065108
1921,182834,183101,Battle Creek,CREEK,ACT,33-442,e2fea9c7-c5ea-4d38-a194-fb20af1ca12e,1,370.146281
